"sepalLength","sepalWidth","petalLength","petalWidth","species"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","low","low","low","Setosa"
"low","high","low","low","Setosa"
"low","high","low","low","Setosa"
"high","low","high","high","Versicolor"
"high","low","high","high","Versicolor"
"high","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"high","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"high","high","high","high","Versicolor"
"low","low","low","low","Versicolor"
"high","low","high","low","Versicolor"
"low","low","low","high","Versicolor"
"low","low","low","low","Versicolor"
"low","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"low","low","high","high","Versicolor"
"low","low","low","low","Versicolor"
"high","low","high","high","Versicolor"
"low","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"high","low","high","high","Versicolor"
"low","low","low","low","Versicolor"
"low","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"high","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"high","low","high","low","Versicolor"
"high","low","high","high","Versicolor"
"high","low","high","high","Versicolor"
"high","low","high","high","Versicolor"
"low","low","high","high","Versicolor"
"low","low","low","low","Versicolor"
"low","low","low","low","Versicolor"
"low","low","low","low","Versicolor"
"low","low","low","low","Versicolor"
"low","low","high","high","Versicolor"
"low","low","high","high","Versicolor"
"low","high","high","high","Versicolor"
"high","low","high","high","Versicolor"
"high","low","high","low","Versicolor"
"low","low","high","low","Versicolor"
"low","low","high","low","Versicolor"
"low","low","high","low","Versicolor"
"low","low","high","high","Versicolor"
"low","low","high","low","Versicolor"
"low","low","low","low","Versicolor"
"low","low","high","low","Versicolor"
"low","low","high","low","Versicolor"
"low","low","high","low","Versicolor"
"high","low","high","low","Versicolor"
"low","low","low","low","Versicolor"
"low","low","high","low","Versicolor"
"high","high","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"low","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","low","high","high","Virginica"
"high","high","high","high","Virginica"
"low","low","high","high","Virginica"
